"name","version","license","license_file","repository"
"ab_glyph","0.2.32","Apache-2.0",,"https://github.com/alexheretic/ab-glyph"
"ab_glyph_rasterizer","0.1.10","Apache-2.0",,"https://github.com/alexheretic/ab-glyph"
"accesskit","0.21.1","MIT OR Apache-2.0",,"https://github.com/AccessKit/accesskit"
"accesskit_consumer","0.31.0","MIT OR Apache-2.0",,"https://github.com/AccessKit/accesskit"
"accesskit_windows","0.29.2","MIT OR Apache-2.0",,"https://github.com/AccessKit/accesskit"
"accesskit_winit","0.29.2","Apache-2.0",,"https://github.com/AccessKit/accesskit"
"adler2","2.0.1","0BSD OR MIT OR Apache-2.0",,"https://github.com/oyvindln/adler2"
"aes","0.8.4","MIT OR Apache-2.0",,"https://github.com/RustCrypto/block-ciphers"
"ahash","0.8.12","MIT OR Apache-2.0",,"https://github.com/tkaitchuck/ahash"
"anyhow","1.0.102","MIT OR Apache-2.0",,"https://github.com/dtolnay/anyhow"
"arboard","3.6.1","MIT OR Apache-2.0",,"https://github.com/1Password/arboard"
"arrayvec","0.7.6","MIT OR Apache-2.0",,"https://github.com/bluss/arrayvec"
"ash","0.38.0+1.3.281","MIT OR Apache-2.0",,"https://github.com/ash-rs/ash"
"autocfg","1.5.0","Apache-2.0 OR MIT",,"https://github.com/cuviper/autocfg"
"bitflags","2.11.1","MIT OR Apache-2.0",,"https://github.com/bitflags/bitflags"
"bit-set","0.8.0","Apache-2.0 OR MIT",,"https://github.com/contain-rs/bit-set"
"bit-vec","0.8.0","Apache-2.0 OR MIT",,"https://github.com/contain-rs/bit-vec"
"block-buffer","0.10.4","MIT OR Apache-2.0",,"https://github.com/RustCrypto/utils"
"block-padding","0.3.3","MIT OR Apache-2.0",,"https://github.com/RustCrypto/utils"
"bytecount","0.6.9","Apache-2.0/MIT",,"https://github.com/llogiq/bytecount"
"bytemuck","1.25.0","Zlib OR Apache-2.0 OR MIT",,"https://github.com/Lokathor/bytemuck"
"bytemuck_derive","1.10.2","Zlib OR Apache-2.0 OR MIT",,"https://github.com/Lokathor/bytemuck"
"byteorder","1.5.0","Unlicense OR MIT",,"https://github.com/BurntSushi/byteorder"
"byteorder-lite","0.1.0","Unlicense OR MIT",,"https://github.com/image-rs/byteorder-lite"
"bytes","1.11.1","MIT",,"https://github.com/tokio-rs/bytes"
"cbc","0.1.2","MIT OR Apache-2.0",,"https://github.com/RustCrypto/block-modes"
"cfg_aliases","0.2.1","MIT",,"https://github.com/katharostech/cfg_aliases"
"cfg-if","1.0.4","MIT OR Apache-2.0",,"https://github.com/rust-lang/cfg-if"
"chrono","0.4.44","MIT OR Apache-2.0",,"https://github.com/chronotope/chrono"
"cipher","0.4.4","MIT OR Apache-2.0",,"https://github.com/RustCrypto/traits"
"clipboard-win","5.4.1","BSL-1.0",,"https://github.com/DoumanAsh/clipboard-win"
"codespan-reporting","0.12.0","Apache-2.0",,"https://github.com/brendanzab/codespan"
"cpufeatures","0.2.17","MIT OR Apache-2.0",,"https://github.com/RustCrypto/utils"
"crc32fast","1.5.0","MIT OR Apache-2.0",,"https://github.com/srijs/rust-crc32fast"
"crossbeam-channel","0.5.15","MIT OR Apache-2.0",,"https://github.com/crossbeam-rs/crossbeam"
"crossbeam-deque","0.8.6","MIT OR Apache-2.0",,"https://github.com/crossbeam-rs/crossbeam"
"crossbeam-epoch","0.9.18","MIT OR Apache-2.0",,"https://github.com/crossbeam-rs/crossbeam"
"crossbeam-utils","0.8.21","MIT OR Apache-2.0",,"https://github.com/crossbeam-rs/crossbeam"
"crypto-common","0.1.7","MIT OR Apache-2.0",,"https://github.com/RustCrypto/traits"
"cursor-icon","1.2.0","MIT OR Apache-2.0 OR Zlib",,"https://github.com/rust-windowing/cursor-icon"
"deranged","0.5.8","MIT OR Apache-2.0",,"https://github.com/jhpratt/deranged"
"digest","0.10.7","MIT OR Apache-2.0",,"https://github.com/RustCrypto/traits"
"displaydoc","0.2.5","MIT OR Apache-2.0",,"https://github.com/yaahc/displaydoc"
"document-features","0.2.12","MIT OR Apache-2.0",,"https://github.com/slint-ui/document-features"
"dpi","0.1.2","Apache-2.0 AND MIT",,"https://github.com/rust-windowing/winit"
"ecb","0.1.2","MIT",,"https://github.com/magic-akari/ecb"
"ecolor","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui"
"eframe","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui/tree/main/crates/eframe"
"egui","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui"
"egui_glow","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui/tree/main/crates/egui_glow"
"egui-wgpu","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui/tree/main/crates/egui-wgpu"
"egui-winit","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui/tree/main/crates/egui-winit"
"either","1.15.0","MIT OR Apache-2.0",,"https://github.com/rayon-rs/either"
"emath","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui/tree/main/crates/emath"
"encoding_rs","0.8.35","(Apache-2.0 OR MIT) AND BSD-3-Clause",,"https://github.com/hsivonen/encoding_rs"
"epaint","0.33.3","MIT OR Apache-2.0",,"https://github.com/emilk/egui/tree/main/crates/epaint"
"epaint_default_fonts","0.33.3","(MIT OR Apache-2.0) AND OFL-1.1 AND Ubuntu-font-1.0",,"https://github.com/emilk/egui/tree/main/crates/epaint_default_fonts"
"equivalent","1.0.2","Apache-2.0 OR MIT",,"https://github.com/indexmap-rs/equivalent"
"error-code","3.3.2","BSL-1.0",,"https://github.com/DoumanAsh/error-code"
"fax","0.2.7","MIT",,"https://github.com/pdf-rs/fax"
"fdeflate","0.3.7","MIT OR Apache-2.0",,"https://github.com/image-rs/fdeflate"
"flate2","1.1.9","MIT OR Apache-2.0",,"https://github.com/rust-lang/flate2-rs"
"foldhash","0.1.5","Zlib",,"https://github.com/orlp/foldhash"
"foldhash","0.2.0","Zlib",,"https://github.com/orlp/foldhash"
"form_urlencoded","1.2.2","MIT OR Apache-2.0",,"https://github.com/servo/rust-url"
"generic-array","0.14.7","MIT",,"https://github.com/fizyk20/generic-array.git"
"getrandom","0.3.4","MIT OR Apache-2.0",,"https://github.com/rust-random/getrandom"
"gl_generator","0.14.0","Apache-2.0",,"https://github.com/brendanzab/gl-rs/"
"glow","0.16.0","MIT OR Apache-2.0 OR Zlib",,"https://github.com/grovesNL/glow"
"glutin","0.32.3","Apache-2.0",,"https://github.com/rust-windowing/glutin"
"glutin_egl_sys","0.7.1","Apache-2.0",,"https://github.com/rust-windowing/glutin"
"glutin_wgl_sys","0.6.1","Apache-2.0",,"https://github.com/rust-windowing/glutin"
"glutin-winit","0.5.0","MIT",,"https://github.com/rust-windowing/glutin"
"gpu-alloc","0.6.0","MIT OR Apache-2.0",,"https://github.com/zakarumych/gpu-alloc"
"gpu-allocator","0.27.0","MIT OR Apache-2.0",,"https://github.com/Traverse-Research/gpu-allocator"
"gpu-alloc-types","0.3.0","MIT OR Apache-2.0",,"https://github.com/zakarumych/gpu-alloc"
"gpu-descriptor","0.3.2","MIT OR Apache-2.0",,"https://github.com/zakarumych/gpu-descriptor"
"gpu-descriptor-types","0.2.0","MIT OR Apache-2.0",,"https://github.com/zakarumych/gpu-descriptor"
"half","2.7.1","MIT OR Apache-2.0",,"https://github.com/VoidStarKat/half-rs"
"hashbrown","0.15.5","MIT OR Apache-2.0",,"https://github.com/rust-lang/hashbrown"
"hashbrown","0.16.1","MIT OR Apache-2.0",,"https://github.com/rust-lang/hashbrown"
"hashbrown","0.17.0","MIT OR Apache-2.0",,"https://github.com/rust-lang/hashbrown"
"hexf-parse","0.2.1","CC0-1.0",,"https://github.com/lifthrasiir/hexf"
"icu_collections","2.2.0","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"icu_locale_core","2.2.0","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"icu_normalizer","2.2.0","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"icu_normalizer_data","2.2.0","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"icu_properties","2.2.0","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"icu_properties_data","2.2.0","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"icu_provider","2.2.0","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"idna","1.1.0","MIT OR Apache-2.0",,"https://github.com/servo/rust-url/"
"idna_adapter","1.2.2","Apache-2.0 OR MIT",,"https://github.com/hsivonen/idna_adapter"
"image","0.25.10","MIT OR Apache-2.0",,"https://github.com/image-rs/image"
"indexmap","2.14.0","Apache-2.0 OR MIT",,"https://github.com/indexmap-rs/indexmap"
"inout","0.1.4","MIT OR Apache-2.0",,"https://github.com/RustCrypto/utils"
"itertools","0.14.0","MIT OR Apache-2.0",,"https://github.com/rust-itertools/itertools"
"itoa","1.0.18","MIT OR Apache-2.0",,"https://github.com/dtolnay/itoa"
"jiff","0.2.24","Unlicense OR MIT",,"https://github.com/BurntSushi/jiff"
"jiff-static","0.2.24","Unlicense OR MIT",,"https://github.com/BurntSushi/jiff"
"jiff-tzdb","0.1.6","Unlicense OR MIT",,"https://github.com/BurntSushi/jiff"
"jiff-tzdb-platform","0.1.3","Unlicense OR MIT",,"https://github.com/BurntSushi/jiff"
"khronos_api","3.1.0","Apache-2.0",,"https://github.com/brendanzab/gl-rs/"
"khronos-egl","6.0.0","MIT/Apache-2.0",,"https://github.com/timothee-haudebourg/khronos-egl"
"libc","0.2.186","MIT OR Apache-2.0",,"https://github.com/rust-lang/libc"
"libloading","0.8.9","ISC",,"https://github.com/nagisa/rust_libloading/"
"libloading","0.9.0","ISC",,"https://github.com/nagisa/rust_libloading/"
"libm","0.2.16","MIT",,"https://github.com/rust-lang/compiler-builtins"
"litemap","0.8.2","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"litrs","1.0.0","MIT OR Apache-2.0",,"https://github.com/LukasKalbertodt/litrs"
"lock_api","0.4.14","MIT OR Apache-2.0",,"https://github.com/Amanieu/parking_lot"
"log","0.4.29","MIT OR Apache-2.0",,"https://github.com/rust-lang/log"
"lopdf","0.38.0","MIT",,"https://github.com/J-F-Liu/lopdf.git"
"maybe-owned","0.3.4","MIT OR Apache-2.0",,"https://github.com/rustonaut/maybe-owned"
"md-5","0.10.6","MIT OR Apache-2.0",,"https://github.com/RustCrypto/hashes"
"memchr","2.8.0","Unlicense OR MIT",,"https://github.com/BurntSushi/memchr"
"memoffset","0.9.1","MIT",,"https://github.com/Gilnaa/memoffset"
"miniz_oxide","0.8.9","MIT OR Zlib OR Apache-2.0",,"https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide"
"moxcms","0.8.1","BSD-3-Clause OR Apache-2.0",,"https://github.com/awxkee/moxcms.git"
"naga","27.0.3","MIT OR Apache-2.0",,"https://github.com/gfx-rs/wgpu"
"nohash-hasher","0.2.0","Apache-2.0 OR MIT",,"https://github.com/paritytech/nohash-hasher"
"nom","8.0.0","MIT",,"https://github.com/rust-bakery/nom"
"nom_locate","5.0.0","MIT",,"https://github.com/fflorent/nom_locate"
"num-conv","0.2.1","MIT OR Apache-2.0",,"https://github.com/jhpratt/num-conv"
"num-traits","0.2.19","MIT OR Apache-2.0",,"https://github.com/rust-num/num-traits"
"once_cell","1.21.4","MIT OR Apache-2.0",,"https://github.com/matklad/once_cell"
"ordered-float","5.3.0","MIT",,"https://github.com/reem/rust-ordered-float"
"owned_ttf_parser","0.25.1","Apache-2.0",,"https://github.com/alexheretic/owned-ttf-parser"
"parking_lot","0.12.5","MIT OR Apache-2.0",,"https://github.com/Amanieu/parking_lot"
"parking_lot_core","0.9.12","MIT OR Apache-2.0",,"https://github.com/Amanieu/parking_lot"
"pdfium-render","0.8.37","MIT OR Apache-2.0",,"https://github.com/ajrcarey/pdfium-render"
"percent-encoding","2.3.2","MIT OR Apache-2.0",,"https://github.com/servo/rust-url/"
"pin-project-lite","0.2.17","Apache-2.0 OR MIT",,"https://github.com/taiki-e/pin-project-lite"
"piston-float","1.0.1","MIT",,"https://github.com/pistondevelopers/float.git"
"pkg-config","0.3.33","MIT OR Apache-2.0",,"https://github.com/rust-lang/pkg-config-rs"
"png","0.18.1","MIT OR Apache-2.0",,"https://github.com/image-rs/image-png"
"potential_utf","0.1.5","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"powerfmt","0.2.0","MIT OR Apache-2.0",,"https://github.com/jhpratt/powerfmt"
"ppv-lite86","0.2.21","MIT OR Apache-2.0",,"https://github.com/cryptocorrosion/cryptocorrosion"
"presser","0.3.1","MIT OR Apache-2.0",,"https://github.com/EmbarkStudios/presser"
"proc-macro2","1.0.106","MIT OR Apache-2.0",,"https://github.com/dtolnay/proc-macro2"
"profiling","1.0.18","MIT OR Apache-2.0",,"https://github.com/aclysma/profiling"
"pxfm","0.1.29","BSD-3-Clause OR Apache-2.0",,"https://github.com/awxkee/pxfm"
"quick-error","2.0.1","MIT/Apache-2.0",,"http://github.com/tailhook/quick-error"
"quote","1.0.45","MIT OR Apache-2.0",,"https://github.com/dtolnay/quote"
"rand","0.9.4","MIT OR Apache-2.0",,"https://github.com/rust-random/rand"
"rand_chacha","0.9.0","MIT OR Apache-2.0",,"https://github.com/rust-random/rand"
"rand_core","0.9.5","MIT OR Apache-2.0",,"https://github.com/rust-random/rand"
"range-alloc","0.1.5","MIT OR Apache-2.0",,"https://github.com/gfx-rs/range-alloc"
"rangemap","1.7.1","MIT/Apache-2.0",,"https://github.com/jeffparsons/rangemap"
"raw-window-handle","0.6.2","MIT OR Apache-2.0 OR Zlib",,"https://github.com/rust-windowing/raw-window-handle"
"rayon","1.12.0","MIT OR Apache-2.0",,"https://github.com/rayon-rs/rayon"
"rayon-core","1.13.0","MIT OR Apache-2.0",,"https://github.com/rayon-rs/rayon"
"renderdoc-sys","1.1.0","MIT OR Apache-2.0",,"https://github.com/ebkalderon/renderdoc-rs"
"rfd","0.15.4","MIT",,"https://github.com/PolyMeilex/rfd"
"rustc-hash","1.1.0","Apache-2.0/MIT",,"https://github.com/rust-lang-nursery/rustc-hash"
"rustc-hash","2.1.2","Apache-2.0 OR MIT",,"https://github.com/rust-lang/rustc-hash"
"scopeguard","1.2.0","MIT OR Apache-2.0",,"https://github.com/bluss/scopeguard"
"serde","1.0.228","MIT OR Apache-2.0",,"https://github.com/serde-rs/serde"
"serde_core","1.0.228","MIT OR Apache-2.0",,"https://github.com/serde-rs/serde"
"serde_derive","1.0.228","MIT OR Apache-2.0",,"https://github.com/serde-rs/serde"
"sha2","0.10.9","MIT OR Apache-2.0",,"https://github.com/RustCrypto/hashes"
"simd-adler32","0.3.9","MIT",,"https://github.com/mcountryman/simd-adler32"
"smallvec","1.15.1","MIT OR Apache-2.0",,"https://github.com/servo/rust-smallvec"
"smol_str","0.2.2","MIT OR Apache-2.0",,"https://github.com/rust-analyzer/smol_str"
"spirv","0.3.0+sdk-1.3.268.0","Apache-2.0",,"https://github.com/gfx-rs/rspirv"
"stable_deref_trait","1.2.1","MIT OR Apache-2.0",,"https://github.com/storyyeller/stable_deref_trait"
"static_assertions","1.1.0","MIT OR Apache-2.0",,"https://github.com/nvzqz/static-assertions-rs"
"stringprep","0.1.5","MIT/Apache-2.0",,"https://github.com/sfackler/rust-stringprep"
"syn","2.0.117","MIT OR Apache-2.0",,"https://github.com/dtolnay/syn"
"synstructure","0.13.2","MIT",,"https://github.com/mystor/synstructure"
"termcolor","1.4.1","Unlicense OR MIT",,"https://github.com/BurntSushi/termcolor"
"thiserror","1.0.69","MIT OR Apache-2.0",,"https://github.com/dtolnay/thiserror"
"thiserror","2.0.18","MIT OR Apache-2.0",,"https://github.com/dtolnay/thiserror"
"thiserror-impl","1.0.69","MIT OR Apache-2.0",,"https://github.com/dtolnay/thiserror"
"thiserror-impl","2.0.18","MIT OR Apache-2.0",,"https://github.com/dtolnay/thiserror"
"tiff","0.11.3","MIT",,"https://github.com/image-rs/image-tiff"
"time","0.3.47","MIT OR Apache-2.0",,"https://github.com/time-rs/time"
"time-core","0.1.8","MIT OR Apache-2.0",,"https://github.com/time-rs/time"
"time-macros","0.2.27","MIT OR Apache-2.0",,"https://github.com/time-rs/time"
"tinystr","0.8.3","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"tinyvec","1.11.0","Zlib OR Apache-2.0 OR MIT",,"https://github.com/Lokathor/tinyvec"
"tinyvec_macros","0.1.1","MIT OR Apache-2.0 OR Zlib",,"https://github.com/Soveu/tinyvec_macros"
"tracing","0.1.44","MIT",,"https://github.com/tokio-rs/tracing"
"tracing-attributes","0.1.31","MIT",,"https://github.com/tokio-rs/tracing"
"tracing-core","0.1.36","MIT",,"https://github.com/tokio-rs/tracing"
"ttf-parser","0.25.1","MIT OR Apache-2.0",,"https://github.com/harfbuzz/ttf-parser"
"type-map","0.5.1","MIT/Apache-2.0",,"https://github.com/kardeiz/type-map"
"typenum","1.20.0","MIT OR Apache-2.0",,"https://github.com/paholg/typenum"
"unicode-bidi","0.3.18","MIT OR Apache-2.0",,"https://github.com/servo/unicode-bidi"
"unicode-ident","1.0.24","(MIT OR Apache-2.0) AND Unicode-3.0",,"https://github.com/dtolnay/unicode-ident"
"unicode-normalization","0.1.25","MIT OR Apache-2.0",,"https://github.com/unicode-rs/unicode-normalization"
"unicode-properties","0.1.4","MIT/Apache-2.0",,"https://github.com/unicode-rs/unicode-properties"
"unicode-segmentation","1.13.2","MIT OR Apache-2.0",,"https://github.com/unicode-rs/unicode-segmentation"
"unicode-width","0.2.2","MIT OR Apache-2.0",,"https://github.com/unicode-rs/unicode-width"
"url","2.5.8","MIT OR Apache-2.0",,"https://github.com/servo/rust-url"
"utf16string","0.2.0","MIT OR Apache-2.0",,"https://github.com/getsentry/utf16string"
"utf8_iter","1.0.4","Apache-2.0 OR MIT",,"https://github.com/hsivonen/utf8_iter"
"vecmath","1.0.0","MIT",,"https://github.com/pistondevelopers/vecmath.git"
"version_check","0.9.5","MIT/Apache-2.0",,"https://github.com/SergioBenitez/version_check"
"webbrowser","1.2.1","MIT OR Apache-2.0",,"https://github.com/amodm/webbrowser-rs"
"web-time","1.1.0","MIT OR Apache-2.0",,"https://github.com/daxpedda/web-time"
"weezl","0.1.12","MIT OR Apache-2.0",,"https://github.com/image-rs/weezl"
"wgpu","27.0.1","MIT OR Apache-2.0",,"https://github.com/gfx-rs/wgpu"
"wgpu-core","27.0.3","MIT OR Apache-2.0",,"https://github.com/gfx-rs/wgpu"
"wgpu-core-deps-windows-linux-android","27.0.0","MIT OR Apache-2.0",,"https://github.com/gfx-rs/wgpu"
"wgpu-hal","27.0.4","MIT OR Apache-2.0",,"https://github.com/gfx-rs/wgpu"
"wgpu-types","27.0.1","MIT OR Apache-2.0",,"https://github.com/gfx-rs/wgpu"
"winapi-util","0.1.11","Unlicense OR MIT",,"https://github.com/BurntSushi/winapi-util"
"windows","0.58.0","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows","0.61.3","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows_x86_64_msvc","0.52.6","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows_x86_64_msvc","0.53.1","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-collections","0.2.0","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-core","0.58.0","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-core","0.61.2","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-future","0.2.1","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-implement","0.58.0","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-implement","0.60.2","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-interface","0.58.0","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-interface","0.59.3","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-link","0.1.3","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-link","0.2.1","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-numerics","0.2.0","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-result","0.2.0","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-result","0.3.4","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-strings","0.1.0","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-strings","0.4.2","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-sys","0.52.0","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-sys","0.59.0","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-sys","0.60.2","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-sys","0.61.2","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-targets","0.52.6","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-targets","0.53.5","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"windows-threading","0.1.0","MIT OR Apache-2.0",,"https://github.com/microsoft/windows-rs"
"winit","0.30.13","Apache-2.0",,"https://github.com/rust-windowing/winit"
"winresource","0.1.31","MIT",,"https://github.com/BenjaminRi/winresource"
"writeable","0.6.3","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"xml-rs","0.8.28","MIT",,"https://github.com/kornelski/xml-rs"
"yoke","0.8.2","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"yoke-derive","0.8.2","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"zerocopy","0.8.48","BSD-2-Clause OR Apache-2.0 OR MIT",,"https://github.com/google/zerocopy"
"zerocopy-derive","0.8.48","BSD-2-Clause OR Apache-2.0 OR MIT",,"https://github.com/google/zerocopy"
"zerofrom","0.1.7","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"zerofrom-derive","0.1.7","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"zerotrie","0.2.4","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"zerovec","0.11.6","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"zerovec-derive","0.11.3","Unicode-3.0",,"https://github.com/unicode-org/icu4x"
"zune-core","0.5.1","MIT OR Apache-2.0 OR Zlib",,"https://github.com/etemesi254/zune-image"
"zune-jpeg","0.5.15","MIT OR Apache-2.0 OR Zlib",,"https://github.com/etemesi254/zune-image/tree/dev/crates/zune-jpeg"
